step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
1,5,5,6,7,7,-1.0,0.07168,71,-0.9685,0
1,5,5,4,7,5,-1.0,0.04407,44,-0.96902,0
1,5,5,3,6,5,-1.0,0.17552,175,-0.96845,0
1,5,5,3,4,4,-1.0,0.33411,335,-0.96854,1
1,5,5,4,3,6,-1.0,0.18862,189,-0.96859,0
1,5,5,6,3,6,-1.0,0.186,186,-0.96853,0
2,3,4,4,6,5,-1.0,0.38973,390,-0.96846,1
2,3,4,2,6,4,-1.0,0.3258,326,-0.96848,0
2,3,4,1,3,4,-1.0,0.16757,167,-0.96844,0
2,3,4,2,2,6,-1.0,0.11689,117,-0.96866,0
3,4,6,6,7,6,-1.0,0.02537,25,-0.96913,0
3,4,6,2,7,4,-1.0,0.05134,51,-0.96876,0
3,4,6,2,5,6,-1.0,0.07701,77,-0.96876,0
3,4,6,5,4,5,-1.0,0.38938,390,-0.96849,0
3,4,6,6,5,6,-1.0,0.4569,457,-0.96844,1
4,6,5,8,6,3,-1.0,0.12145,121,-0.9685,0
4,6,5,7,7,5,-1.0,0.12444,124,-0.9685,0
4,6,5,5,7,5,-1.0,0.16802,168,-0.96854,0
4,6,5,4,4,6,-1.0,0.32819,329,-0.96853,1
4,6,5,7,3,5,-1.0,0.13868,139,-0.96866,0
4,6,5,8,4,3,-1.0,0.11922,119,-0.96857,0
5,4,4,5,6,6,-1.0,0.15439,154,-0.96848,0
5,4,4,3,6,4,-1.0,0.23913,240,-0.96861,1
5,4,4,2,5,5,-1.0,0.08811,88,-0.96868,0
5,4,4,2,3,4,-1.0,0.20316,203,-0.96849,0
5,4,4,5,2,6,-1.0,0.12938,129,-0.96851,0
5,4,4,6,3,5,-1.0,0.18583,186,-0.96856,0
6,3,6,5,7,4,-1.0,0.36501,365,-0.96845,1
6,3,6,4,8,5,-1.0,0.19029,190,-0.96848,0
6,3,6,2,8,3,-1.0,0.30836,309,-0.96853,0
6,3,6,2,4,6,-1.0,0.13634,136,-0.96851,0
7,5,7,7,8,5,-1.0,0.05599,56,-0.96892,0
7,5,7,6,9,3,-1.0,0.27426,274,-0.96845,0
7,5,7,4,9,3,-1.0,0.20692,207,-0.96853,0
7,5,7,4,5,6,-1.0,0.46284,463,-0.96844,1
8,4,5,6,6,5,-1.0,0.0997,100,-0.96877,0
8,4,5,3,7,6,-1.0,0.03719,37,-0.96904,0
8,4,5,2,6,3,-1.0,0.12052,120,-0.96849,0
8,4,5,2,4,5,-1.0,0.12789,128,-0.96863,0
8,4,5,3,3,6,-1.0,0.36186,362,-0.96846,1
