step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
1,5,5,7,6,7,0.0,0.12048,60,0.04421,0
1,5,5,6,7,6,0.0,0.14056,70,0.04431,0
1,5,5,4,7,6,0.0,0.14056,70,0.04431,0
1,5,5,3,6,7,0.0,0.12048,60,0.04421,0
1,5,5,3,4,6,0.0,0.14056,70,0.04431,0
1,5,5,4,3,5,0.0,0.16867,85,0.0439,1
1,5,5,7,4,5,0.0,0.16867,85,0.0439,0
2,4,3,6,4,7,0.0,0.1626,81,0.04438,0
2,4,3,3,5,7,0.0,0.1626,81,0.04438,0
2,4,3,2,4,7,0.0,0.1626,81,0.04438,0
2,4,3,3,1,5,0.0,0.22764,114,0.04431,0
2,4,3,5,1,4,0.0,0.28455,143,0.04423,1
3,5,1,7,2,7,0.0,0.11111,55,0.04441,0
3,5,1,3,2,7,0.0,0.11111,55,0.04441,0
3,5,1,3,0,2,0.0,0.38889,195,0.04441,1
3,5,1,7,0,2,0.0,0.38889,195,0.04441,0
4,3,0,4,2,6,0.0,0.33333,167,0.04441,0
4,3,0,1,1,3,0.0,0.66667,333,0.04468,1
5,1,1,3,2,6,0.0,0.20588,103,0.04431,0
5,1,1,2,3,7,0.0,0.17647,88,0.04438,0
5,1,1,0,3,2,0.0,0.61765,309,0.0446,1
6,0,3,2,4,6,0.0,0.45455,227,0.04462,0
6,0,3,1,5,5,0.0,0.54545,273,0.04456,1
7,1,5,3,6,6,0.0,0.16129,81,0.04403,0
7,1,5,2,7,6,0.0,0.16129,81,0.04403,0
7,1,5,0,7,3,0.0,0.32258,161,0.04457,1
7,1,5,2,3,6,0.0,0.16129,80,0.04457,0
7,1,5,3,4,5,0.0,0.19355,97,0.04421,0
8,0,7,2,8,4,0.0,0.28,140,0.04445,0
8,0,7,1,9,2,0.0,0.56,280,0.04461,1
8,0,7,2,6,7,0.0,0.16,80,0.04421,0
9,1,9,2,7,5,0.0,0.5,250,0.04459,1
9,1,9,3,8,5,0.0,0.5,250,0.04459,0
10,2,7,4,8,5,0.0,0.17004,85,0.04426,0
10,2,7,3,9,3,0.0,0.2834,142,0.04436,1
10,2,7,0,6,3,0.0,0.2834,142,0.04436,0
10,2,7,3,5,6,0.0,0.1417,71,0.04405,0
10,2,7,4,6,7,0.0,0.12146,60,0.04457,0
11,3,9,1,8,3,0.0,0.42553,213,0.04451,1
11,3,9,4,7,5,0.0,0.25532,128,0.0443,0
11,3,9,5,8,4,0.0,0.31915,159,0.04465,0
12,1,8,0,6,2,-0.00333,0.61765,300,0.0426,1
12,1,8,2,6,6,0.0,0.20588,108,0.04228,0
12,1,8,3,7,7,0.0,0.17647,92,0.04247,0
13,0,6,1,4,4,-0.00323,0.63636,310,0.04257,1
13,0,6,2,5,7,0.0,0.36364,190,0.04261,0
14,1,4,3,5,5,0.0,0.22826,125,0.04055,0
14,1,4,2,6,5,0.0,0.22826,125,0.04055,0
14,1,4,0,2,3,-0.0125,0.38043,160,0.04039,1
14,1,4,3,3,7,0.0,0.16304,90,0.0401,0
15,0,2,2,3,5,-0.01887,0.14286,53,0.04035,0
15,0,2,1,0,1,0.0,0.71428,394,0.04048,1
15,0,2,2,1,5,-0.01887,0.14286,53,0.04035,0
16,1,0,3,1,4,0.0,1.0,500,0.04468,1
17,3,1,5,2,7,0.0,0.13072,65,0.04433,0
17,3,1,2,3,4,0.0,0.22876,114,0.04452,0
17,3,1,1,2,5,0.0,0.18301,92,0.04405,0
17,3,1,5,0,2,0.0,0.45752,229,0.04452,1
18,5,0,7,1,3,0.0,0.625,313,0.04455,1
18,5,0,4,2,5,0.0,0.375,187,0.04465,0
19,7,1,9,2,3,0.0,0.4,200,0.04454,1
19,7,1,8,3,3,0.0,0.4,200,0.04454,0
19,7,1,5,2,6,0.0,0.2,100,0.04432,0
20,9,2,8,4,3,0.0,0.34146,171,0.04444,0
20,9,2,7,3,7,0.0,0.14634,73,0.04426,0
20,9,2,8,0,2,0.0,0.51219,256,0.04461,1
21,8,0,7,2,6,0.0,0.45455,227,0.04462,0
21,8,0,6,1,5,0.0,0.54545,273,0.04456,1
22,6,1,8,2,3,0.0,0.27184,136,0.04441,1
22,6,1,7,3,6,0.0,0.13592,68,0.04409,0
22,6,1,5,3,7,0.0,0.11651,58,0.0442,0
22,6,1,4,2,4,0.0,0.20388,102,0.04431,0
22,6,1,4,0,3,0.0,0.27184,136,0.04441,0
23,8,2,9,4,2,0.0,0.28571,150,0.04235,0
23,8,2,7,4,4,-0.01961,0.14286,51,0.04188,0
23,8,2,7,0,1,0.0,0.57143,299,0.04263,1
24,7,0,9,1,2,0.0,1.0,500,0.04468,1
25,9,1,8,3,2,0.0,0.71429,357,0.04466,1
25,9,1,7,2,5,0.0,0.28571,143,0.04441,0
26,8,3,9,5,3,0.0,0.66667,333,0.04468,1
26,8,3,6,4,6,0.0,0.33333,167,0.04441,0
27,9,5,8,7,2,0.0,0.5,250,0.04459,1
27,9,5,7,6,6,0.0,0.16667,83,0.04441,0
27,9,5,7,4,3,0.0,0.33333,167,0.04441,0
28,8,7,7,9,3,0.0,0.625,313,0.04455,1
28,8,7,6,8,5,0.0,0.375,187,0.04465,0
29,7,9,5,8,3,0.0,0.32258,169,0.04247,0
29,7,9,6,7,5,0.0,0.19355,101,0.04247,0
29,7,9,9,8,2,-0.00435,0.48387,230,0.04254,1
30,9,8,7,7,6,0.0,0.45455,250,0.04053,1
30,9,8,8,6,5,-0.008,0.54545,250,0.04064,0
31,7,7,8,9,2,0.0,0.26415,132,0.04445,1
31,7,7,6,9,3,0.0,0.1761,88,0.04429,0
31,7,7,5,8,2,0.0,0.26415,132,0.04445,0
31,7,7,5,6,6,0.0,0.08805,44,0.0438,0
31,7,7,6,5,7,0.0,0.07547,38,0.04332,0
31,7,7,8,5,4,0.0,0.13208,66,0.04412,0
32,8,9,6,8,4,0.0,0.42857,214,0.04462,0
32,8,9,9,7,3,0.0,0.57143,286,0.04457,1
33,9,7,7,8,3,0.0,0.38462,198,0.04326,1
33,9,7,7,6,5,0.0,0.23077,118,0.04341,0
33,9,7,8,5,3,-0.00543,0.38462,184,0.0411,0
34,7,8,5,9,3,0.0,0.45902,252,0.04061,1
34,7,8,5,7,7,0.0,0.19672,108,0.0404,0
34,7,8,8,6,4,-0.02143,0.34426,140,0.03322,0
35,5,9,3,8,4,0.0,0.33333,167,0.04441,1
35,5,9,4,7,4,0.0,0.33333,167,0.04441,0
35,5,9,6,7,4,0.0,0.33333,166,0.04468,0
36,3,8,1,7,4,0.0,0.3,150,0.04447,1
36,3,8,2,6,4,0.0,0.3,150,0.04447,0
36,3,8,4,6,6,0.0,0.2,100,0.04432,0
36,3,8,5,7,6,0.0,0.2,100,0.04432,0
37,1,7,2,9,2,0.0,0.41667,209,0.04441,1
37,1,7,0,5,3,0.0,0.27778,139,0.04441,0
37,1,7,2,5,6,0.0,0.13889,69,0.04441,0
37,1,7,3,6,5,0.0,0.16667,83,0.04441,0
38,2,9,3,7,6,-0.00538,0.4,186,0.0425,0
38,2,9,4,8,4,0.0,0.6,314,0.04263,1
39,4,8,6,9,2,0.0,0.38961,203,0.04275,1
39,4,8,3,6,4,0.0,0.19481,102,0.04233,0
39,4,8,5,6,5,0.0,0.15584,81,0.04254,0
39,4,8,6,7,3,-0.00877,0.25974,114,0.04178,0
40,6,9,5,7,5,0.0,0.28571,165,0.03853,0
40,6,9,8,8,2,-0.00896,0.71429,335,0.03863,1
41,8,8,6,7,2,-0.01347,0.66667,297,0.03661,1
41,8,8,7,6,4,0.0,0.33333,203,0.03657,0
42,6,7,4,6,5,-0.00498,0.375,201,0.03658,0
42,6,7,8,6,3,-0.01003,0.625,299,0.0366,1
43,8,6,6,5,6,-0.02941,0.1,34,0.03454,0
43,8,6,7,4,2,-0.0283,0.3,106,0.03445,0
43,8,6,9,4,1,-0.00278,0.6,360,0.03442,1
44,9,4,7,3,5,-0.006,1.0,500,0.03868,1
45,7,3,8,5,2,-0.0283,0.30303,106,0.03509,0
45,7,3,6,5,5,0.0,0.12121,68,0.03932,0
45,7,3,5,4,4,0.0,0.15152,86,0.03898,0
45,7,3,5,2,5,0.0,0.12121,68,0.03932,0
45,7,3,8,1,2,0.0,0.30303,172,0.03921,1
46,8,1,9,3,3,-0.02475,0.5,202,0.03038,0
46,8,1,6,0,3,-0.00336,0.5,298,0.03407,1
47,6,0,7,2,4,0.0,0.3,174,0.03837,0
